sample_row_id,fork_length,dead,weight,count,fws_race,r_catch,interp,age_class,brood_year,subsample,common_name,life_stage,race,date
NA,42,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-17
NA,33,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,yolk sac fry,Spring,2022-11-20
NA,33,TRUE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-19
NA,105,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,not provided,2022-10-18
NA,137,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-10
NA,31,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-19
NA,162,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-11-10
NA,25,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Unidentified Cyprinid fry,not provided,not provided,2022-11-17
NA,82,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Tule Perch,not provided,not provided,2022-10-18
NA,46,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-10-27
NA,32,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-18
NA,33,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-20
NA,34,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-18
NA,33,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,yolk sac fry,Spring,2022-11-17
NA,35,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-20
NA,77,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-17
NA,135,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-11-13
NA,35,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Rainbow Trout,fry,not provided,2022-11-04
NA,31,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-17
NA,105,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-04
NA,32,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-16
NA,32,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-20
NA,124,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-10
NA,43,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,not provided,2022-11-08
NA,111,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-11-15
NA,126,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-14
NA,43,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-10-04
NA,36,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-11-10
NA,35,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-20
NA,31,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-18
NA,133,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,not provided,2022-11-11
NA,142,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-10
NA,32,FALSE,0,4,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-17
NA,98,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,not provided,2022-11-16
NA,33,FALSE,0,25,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-17
NA,32,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Winter,2022-10-05
NA,104,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,not provided,2022-11-17
NA,34,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-20
NA,33,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Winter,2022-10-04
NA,82,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-10-26
