"Biweekly.Biweekly.rub","Biweekly.Winter.run.Chinook.Salmon.21","Biweekly.Winter.run.Chinook.Salmon.22","Biweekly.Spring.run.Chinook.Salmon.21","Biweekly.Late.fall.run.Chinook.Salmon.21","Biweekly.Late.fall.run.Chinook.Salmon.22","Biweekly.RainbowTrout.steelhead.21","Biweekly.RainbowTrout.steelhead.22","Brood.Year.Biweekly.rub","Brood.Year.Winter.run.Chinook.Salmon.21","Brood.Year.Winter.run.Chinook.Salmon.22","Brood.Year.Spring.run.Chinook.Salmon.21","Brood.Year.Late.fall.run.Chinook.Salmon.21","Brood.Year.Late.fall.run.Chinook.Salmon.22","Brood.Year.RainbowTrout.steelhead.21","Brood.Year.RainbowTrout.steelhead.22"
"90% LCL",0,0,166,0,0,0,1769,"90% LCL",0,0,53913,47,102,157,3027
"Passage index",0,0,115,0,0,0,1257,"Passage index",0,0,42991,0,84,130,2311
"90% UCL",0,0,236,0,0,0,2475,"90% UCL",0,0,68906,0,122,195,4166
