"Date","Discharge volumn (cfs)","Water temperature (C)","Water turbidity (NTU)","BY21 Winter","BY22 Winter","BY21 Spring","BY21 Late-fall","BY22 Late-fall","BY21 RBT","BY22 RBT","BY21 Winter minimum FL","BY21 Winter maximum FL","BY22 Winter minimum FL","BY22 Winter maximum FL","BY21 Spring minimum FL","BY21 Spring maximum FL","BY21 Late-Fall minimum FL","BY21 Late-fall maximum FL","BY22 Late-Fall minimum FL","BY22 Late-fall maximum FL","BY21 RBT FL","BY21 RBT maximum FL","BY22 RBT minimum FL","BY22 RBT maximum FL"
2022-03-26,364,13.7,2.21,0,0,0,0,0,0,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28
2022-03-27,364,13.3,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-28,385,12.9,2.33,0,0,0,0,0,0,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,29
2022-03-29,356,12.9,2.41,0,0,71,0,0,0,142,NA,NA,NA,NA,80,83,NA,NA,NA,NA,NA,NA,23,27
2022-03-30,364,13.3,3.45,0,0,47,0,0,0,118,NA,NA,NA,NA,88,90,NA,NA,NA,NA,NA,NA,24,26
2022-03-31,348,12.9,2.4,0,0,0,0,0,0,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,25
2022-04-01,340,12.8,2.52,0,0,24,0,0,0,0,NA,NA,NA,NA,87,87,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-02,333,13.4,1.73,0,0,0,0,0,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,27
2022-04-03,329,12.4,2.62,0,0,0,0,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25
2022-04-04,340,12.4,2.07,0,0,0,0,0,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,26
2022-04-05,314,12.5,3.31,0,0,24,0,0,0,71,NA,NA,NA,NA,79,79,NA,NA,NA,NA,NA,NA,25,27
2022-04-06,385,12.7,3.12,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-07,306,14.2,2.25,0,0,0,0,0,0,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,33
2022-04-08,321,15.1,1.26,0,0,0,0,0,0,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,40
