"Biweekly.Biweekly.run","Biweekly.Winter.run.Chinook.Salmon.21","Biweekly.Winter.run.Chinook.Salmon.22","Biweekly.Spring.run.Chinook.Salmon.21","Biweekly.Fall.run.Chinook.Salmon.21","Biweekly.Late.fall.run.Chinook.Salmon.21","Biweekly.Late.fall.run.Chinook.Salmon.22","Biweekly.RainbowTrout.steelhead.21","Biweekly.RainbowTrout.steelhead.22","Brood.Year.Brood.year.run","Brood.Year.Winter.run.Chinook.Salmon.21","Brood.Year.Winter.run.Chinook.Salmon.22","Brood.Year.Spring.run.Chinook.Salmon.21","Brood.Year.Fall.run.Chinook.Salmon.21","Brood.Year.Late.fall.run.Chinook.Salmon.21","Brood.Year.Late.fall.run.Chinook.Salmon.22","Brood.Year.RainbowTrout.steelhead.21","Brood.Year.RainbowTrout.steelhead.22"
"Passage index",0,0,138,12700,0,2258,28,4794,"Passage index",28,0,2091,4565893,0,7657,139,23087
"90% LCL",0,0,103,9572,0,1697,19,3583,"90% LCL",19,0,1763,3931871,0,6552,112,20275
"90% UCL",0,0,185,16745,0,3017,38,6374,"90% UCL",38,0,2501,5446344,0,9193,170,26095
