"Date","Discharge volumn (cfs)","Water temperature (C)","Water turbidity (NTU)","BY21 Winter","BY22 Winter","BY21 Spring","BY21 Fall","BY21 Late-fall","BY22 Late-fall","BY21 RBT","BY22 RBT","BY21 Winter minimum FL","BY21 Winter maximum FL","BY22 Winter minimum FL","BY22 Winter maximum FL","BY21 Spring minimum FL","BY21 Spring maximum FL","BY21 Fall minimum FL","BY21 Fall maximum FL","BY21 Late-Fall minimum FL","BY21 Late-fall maximum FL","BY22 Late-Fall minimum FL","BY22 Late-fall maximum FL","BY21 RBT FL","BY21 RBT maximum FL","BY22 RBT minimum FL","BY22 RBT maximum FL"
2022-03-26,221,50.5,0.94,0,0,55,2397,0,0,138,1818,NA,NA,NA,NA,63,65,32,47,NA,NA,NA,NA,86,121,22,31
2022-03-27,221,50.4,NA,0,0,28,1460,0,0,83,1736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-28,221,50.1,1.68,0,0,0,523,0,0,0,661,NA,NA,NA,NA,NA,NA,33,54,NA,NA,NA,NA,NA,NA,21,29
2022-03-29,221,50.6,NA,0,0,110,3388,0,0,55,799,NA,NA,NA,NA,78,83,32,60,NA,NA,NA,NA,85,150,23,32
2022-03-30,221,50.5,1.19,0,0,83,3939,0,0,28,992,NA,NA,NA,NA,80,90,30,65,NA,NA,NA,NA,93,93,22,42
2022-03-31,221,50.4,0.98,0,0,28,1625,0,0,28,826,NA,NA,NA,NA,90,90,32,56,NA,NA,NA,NA,119,119,23,37
2022-04-01,221,50.6,0.99,0,0,28,2066,0,138,0,606,NA,NA,NA,NA,87,87,34,62,NA,NA,31,33,NA,NA,23,30
2022-04-02,221,50.7,NA,0,0,28,1350,0,110,28,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,27
2022-04-03,224,49.9,NA,0,0,28,1350,0,110,28,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25
2022-04-04,230,50.1,1.07,0,0,28,523,0,28,28,220,NA,NA,NA,NA,82,82,35,68,NA,NA,33,33,98,98,24,29
2022-04-05,230,50.3,NA,0,0,55,1185,0,165,28,716,NA,NA,NA,NA,78,79,35,66,NA,NA,33,34,150,150,21,29
2022-04-06,224,50.8,0.9,0,0,28,1598,0,248,28,634,NA,NA,NA,NA,81,81,35,72,NA,NA,32,34,100,100,23,30
2022-04-07,221,51.4,1,0,0,28,689,0,110,0,799,NA,NA,NA,NA,89,89,36,73,NA,NA,34,35,NA,NA,22,33
2022-04-08,221,51.6,0.92,0,0,55,799,0,358,83,882,NA,NA,NA,NA,79,80,35,58,NA,NA,32,35,90,133,23,54
