"Biweekly.Biweekly.rub","Biweekly.Winter.run.Chinook.Salmon.21","Biweekly.Winter.run.Chinook.Salmon.22","Biweekly.Spring.run.Chinook.Salmon.21","Biweekly.Late.fall.run.Chinook.Salmon.21","Biweekly.Late.fall.run.Chinook.Salmon.22","Biweekly.RainbowTrout.steelhead.21","Biweekly.RainbowTrout.steelhead.22","Brood.Year.Biweekly.rub","Brood.Year.Winter.run.Chinook.Salmon.21","Brood.Year.Winter.run.Chinook.Salmon.22","Brood.Year.Spring.run.Chinook.Salmon.21","Brood.Year.Late.fall.run.Chinook.Salmon.21","Brood.Year.Late.fall.run.Chinook.Salmon.22","Brood.Year.RainbowTrout.steelhead.21","Brood.Year.RainbowTrout.steelhead.22"
"Passage index",0,0,64,0,0,111,222,"Passage index",115,0,13655,0,0,525,833
"90% LCL",0,0,53,0,0,93,186,"90% LCL",103,0,11811,0,0,489,758
"90% UCL",0,0,75,0,0,131,262,"90% UCL",130,0,15941,0,0,565,913
