Date,DATE / TIME (PST),FLOW CFS
3/26/2022,3/26/2022 0:00,218
3/26/2022,3/26/2022 0:15,218
3/26/2022,3/26/2022 0:30,218
3/26/2022,3/26/2022 0:45,218
3/26/2022,3/26/2022 1:00,218
3/26/2022,3/26/2022 1:15,218
3/26/2022,3/26/2022 1:30,218
3/26/2022,3/26/2022 1:45,218
3/26/2022,3/26/2022 2:00,218
3/26/2022,3/26/2022 2:15,218
3/26/2022,3/26/2022 2:30,218
3/26/2022,3/26/2022 2:45,218
3/26/2022,3/26/2022 3:00,218
3/26/2022,3/26/2022 3:15,218
3/26/2022,3/26/2022 3:30,218
3/26/2022,3/26/2022 3:45,218
3/26/2022,3/26/2022 4:00,218
3/26/2022,3/26/2022 4:15,218
3/26/2022,3/26/2022 4:30,218
3/26/2022,3/26/2022 4:45,218
3/26/2022,3/26/2022 5:00,218
3/26/2022,3/26/2022 5:15,218
3/26/2022,3/26/2022 5:30,218
3/26/2022,3/26/2022 5:45,218
3/26/2022,3/26/2022 6:00,218
3/26/2022,3/26/2022 6:15,218
3/26/2022,3/26/2022 6:30,218
3/26/2022,3/26/2022 6:45,218
3/26/2022,3/26/2022 7:00,218
3/26/2022,3/26/2022 7:15,218
3/26/2022,3/26/2022 7:30,218
3/26/2022,3/26/2022 7:45,218
3/26/2022,3/26/2022 8:00,218
3/26/2022,3/26/2022 8:15,218
3/26/2022,3/26/2022 8:30,218
3/26/2022,3/26/2022 8:45,218
3/26/2022,3/26/2022 9:00,218
3/26/2022,3/26/2022 9:15,218
3/26/2022,3/26/2022 9:30,218
3/26/2022,3/26/2022 9:45,221
3/26/2022,3/26/2022 10:00,218
3/26/2022,3/26/2022 10:15,218
3/26/2022,3/26/2022 10:30,218
3/26/2022,3/26/2022 10:45,218
3/26/2022,3/26/2022 11:00,218
3/26/2022,3/26/2022 11:15,218
3/26/2022,3/26/2022 11:30,218
3/26/2022,3/26/2022 11:45,218
3/26/2022,3/26/2022 12:00,218
3/26/2022,3/26/2022 12:15,218
3/26/2022,3/26/2022 12:30,218
3/26/2022,3/26/2022 12:45,218
3/26/2022,3/26/2022 13:00,218
3/26/2022,3/26/2022 13:15,218
3/26/2022,3/26/2022 13:30,218
3/26/2022,3/26/2022 13:45,221
3/26/2022,3/26/2022 14:00,218
3/26/2022,3/26/2022 14:15,218
3/26/2022,3/26/2022 14:30,218
3/26/2022,3/26/2022 14:45,221
3/26/2022,3/26/2022 15:00,218
3/26/2022,3/26/2022 15:15,218
3/26/2022,3/26/2022 15:30,221
3/26/2022,3/26/2022 15:45,218
3/26/2022,3/26/2022 16:00,218
3/26/2022,3/26/2022 16:15,218
3/26/2022,3/26/2022 16:30,218
3/26/2022,3/26/2022 16:45,218
3/26/2022,3/26/2022 17:00,218
3/26/2022,3/26/2022 17:15,218
3/26/2022,3/26/2022 17:30,218
3/26/2022,3/26/2022 17:45,218
3/26/2022,3/26/2022 18:00,218
3/26/2022,3/26/2022 18:15,218
3/26/2022,3/26/2022 18:30,218
3/26/2022,3/26/2022 18:45,218
3/26/2022,3/26/2022 19:00,218
3/26/2022,3/26/2022 19:15,218
3/26/2022,3/26/2022 19:30,218
3/26/2022,3/26/2022 19:45,218
3/26/2022,3/26/2022 20:00,218
3/26/2022,3/26/2022 20:15,218
3/26/2022,3/26/2022 20:30,218
3/26/2022,3/26/2022 20:45,218
3/26/2022,3/26/2022 21:00,218
3/26/2022,3/26/2022 21:15,218
3/26/2022,3/26/2022 21:30,218
3/26/2022,3/26/2022 21:45,218
3/26/2022,3/26/2022 22:00,218
3/26/2022,3/26/2022 22:15,218
3/26/2022,3/26/2022 22:30,218
3/26/2022,3/26/2022 22:45,218
3/26/2022,3/26/2022 23:00,218
3/26/2022,3/26/2022 23:15,218
3/26/2022,3/26/2022 23:30,218
3/26/2022,3/26/2022 23:45,218
3/27/2022,3/27/2022 0:00,218
3/27/2022,3/27/2022 0:15,218
3/27/2022,3/27/2022 0:30,218
3/27/2022,3/27/2022 0:45,218
3/27/2022,3/27/2022 1:00,218
3/27/2022,3/27/2022 1:15,218
3/27/2022,3/27/2022 1:30,218
3/27/2022,3/27/2022 1:45,218
3/27/2022,3/27/2022 2:00,218
3/27/2022,3/27/2022 2:15,218
3/27/2022,3/27/2022 2:30,218
3/27/2022,3/27/2022 2:45,218
3/27/2022,3/27/2022 3:00,218
3/27/2022,3/27/2022 3:15,218
3/27/2022,3/27/2022 3:30,218
3/27/2022,3/27/2022 3:45,218
3/27/2022,3/27/2022 4:00,218
3/27/2022,3/27/2022 4:15,218
3/27/2022,3/27/2022 4:30,218
3/27/2022,3/27/2022 4:45,218
3/27/2022,3/27/2022 5:00,218
3/27/2022,3/27/2022 5:15,218
3/27/2022,3/27/2022 5:30,218
3/27/2022,3/27/2022 5:45,218
3/27/2022,3/27/2022 6:00,218
3/27/2022,3/27/2022 6:15,218
3/27/2022,3/27/2022 6:30,218
3/27/2022,3/27/2022 6:45,218
3/27/2022,3/27/2022 7:00,218
3/27/2022,3/27/2022 7:15,218
3/27/2022,3/27/2022 7:30,218
3/27/2022,3/27/2022 7:45,218
3/27/2022,3/27/2022 8:00,218
3/27/2022,3/27/2022 8:15,218
3/27/2022,3/27/2022 8:30,218
3/27/2022,3/27/2022 8:45,218
3/27/2022,3/27/2022 9:00,218
3/27/2022,3/27/2022 9:15,218
3/27/2022,3/27/2022 9:30,218
3/27/2022,3/27/2022 9:45,218
3/27/2022,3/27/2022 10:00,218
3/27/2022,3/27/2022 10:15,218
3/27/2022,3/27/2022 10:30,218
3/27/2022,3/27/2022 10:45,218
3/27/2022,3/27/2022 11:00,218
3/27/2022,3/27/2022 11:15,218
3/27/2022,3/27/2022 11:30,218
3/27/2022,3/27/2022 11:45,218
3/27/2022,3/27/2022 12:00,218
3/27/2022,3/27/2022 12:15,221
3/27/2022,3/27/2022 12:30,218
3/27/2022,3/27/2022 12:45,218
3/27/2022,3/27/2022 13:00,218
3/27/2022,3/27/2022 13:15,218
3/27/2022,3/27/2022 13:30,218
3/27/2022,3/27/2022 13:45,218
3/27/2022,3/27/2022 14:00,218
3/27/2022,3/27/2022 14:15,218
3/27/2022,3/27/2022 14:30,218
3/27/2022,3/27/2022 14:45,218
3/27/2022,3/27/2022 15:00,218
3/27/2022,3/27/2022 15:15,218
3/27/2022,3/27/2022 15:30,218
3/27/2022,3/27/2022 15:45,218
3/27/2022,3/27/2022 16:00,218
3/27/2022,3/27/2022 16:15,218
3/27/2022,3/27/2022 16:30,218
3/27/2022,3/27/2022 16:45,218
3/27/2022,3/27/2022 17:00,218
3/27/2022,3/27/2022 17:15,218
3/27/2022,3/27/2022 17:30,218
3/27/2022,3/27/2022 17:45,218
3/27/2022,3/27/2022 18:00,218
3/27/2022,3/27/2022 18:15,218
3/27/2022,3/27/2022 18:30,218
3/27/2022,3/27/2022 18:45,218
3/27/2022,3/27/2022 19:00,218
3/27/2022,3/27/2022 19:15,218
3/27/2022,3/27/2022 19:30,218
3/27/2022,3/27/2022 19:45,218
3/27/2022,3/27/2022 20:00,218
3/27/2022,3/27/2022 20:15,218
3/27/2022,3/27/2022 20:30,218
3/27/2022,3/27/2022 20:45,218
3/27/2022,3/27/2022 21:00,218
