"Date","Discharge volumn (cfs)","Water temperature (C)","Water turbidity (NTU)","BY21 Winter","BY22 Winter","BY21 Spring","BY21 Late-fall","BY22 Late-fall","BY21 RBT","BY22 RBT","BY21 Winter minimum FL","BY21 Winter maximum FL","BY22 Winter minimum FL","BY22 Winter maximum FL","BY21 Spring minimum FL","BY21 Spring maximum FL","BY21 Late-Fall minimum FL","BY21 Late-fall maximum FL","BY22 Late-Fall minimum FL","BY22 Late-fall maximum FL","BY21 RBT FL","BY21 RBT maximum FL","BY22 RBT minimum FL","BY22 RBT maximum FL"
2022-03-26,221,10.3,2.21,0,0,47,0,0,118,71,NA,NA,NA,NA,63,65,NA,NA,NA,NA,86,121,26,28
2022-03-27,221,10.2,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-28,221,10.1,2.33,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-29,221,10.3,2.41,0,0,24,0,0,47,47,NA,NA,NA,NA,78,78,NA,NA,NA,NA,85,150,25,28
2022-03-30,221,10.3,3.45,0,0,0,0,0,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,93,27,27
2022-03-31,221,10.2,2.4,0,0,24,0,0,0,94,NA,NA,NA,NA,90,90,NA,NA,NA,NA,NA,NA,25,27
2022-04-01,221,10.3,2.52,0,0,0,0,0,0,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,29
2022-04-02,221,10.4,1.73,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-03,224,9.9,2.62,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-04,230,10.1,2.07,0,0,24,0,0,24,24,NA,NA,NA,NA,82,82,NA,NA,NA,NA,98,98,28,28
2022-04-05,230,10.2,3.31,0,0,0,0,0,24,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,150,27,29
2022-04-06,224,10.4,3.12,0,0,24,0,0,24,142,NA,NA,NA,NA,81,81,NA,NA,NA,NA,100,100,25,30
2022-04-07,221,10.8,2.25,0,0,24,0,0,0,0,NA,NA,NA,NA,89,89,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-08,221,10.9,1.26,0,0,24,0,0,71,94,NA,NA,NA,NA,79,79,NA,NA,NA,NA,90,133,27,29
